sample_id,prediction,ground_truth,is_correct,caption
hcgeyysded,2,-1,False,
zvkvlwcrrj,4,-1,False,
wpgsfrlkxo,1,-1,False,
vdnsjzxwua,0,-1,False,
esgzprjfpb,1,-1,False,
nrrmclhgvk,3,-1,False,
yeveorjmts,1,-1,False,
vnflgfiioe,3,-1,False,
gndxuyhjbo,2,-1,False,
puwpozacjh,3,-1,False,
obdfbjlzvk,0,-1,False,
owebektbyu,2,-1,False,
caigerxtqn,3,-1,False,
mlqzxvfaet,1,-1,False,
ttxwdyfjds,2,-1,False,
utmyfapcaa,0,-1,False,
xxvjcgotpp,0,-1,False,
nuzfdewxbf,1,-1,False,
udaxihhexd,1,-1,False,
tvogcdeyds,1,-1,False,
zgnkzxvmkd,3,-1,False,
orkoznxbqj,3,-1,False,
nwvyykifyc,0,-1,False,
pxyrhmvwmp,2,-1,False,
whjvcuuybc,3,-1,False,
cpnuzksdqb,1,-1,False,
iecbfzjtxs,0,-1,False,
xjaqylqzqo,3,-1,False,
uurjlprhzc,1,-1,False,
oycseqlmku,2,-1,False,
gqolbtuvtp,3,-1,False,
pofxzlfexr,4,-1,False,
vbcgesyuza,4,-1,False,
ryrmokgwhs,4,-1,False,
vsqepaqxbr,1,-1,False,
ljgniktzyo,0,-1,False,
przoabkbkz,0,-1,False,
kufkubaoig,2,-1,False,
ramssvacun,0,-1,False,
brpgwpkhaa,3,-1,False,
cjvutpgdag,4,-1,False,
eentwxqjwr,2,-1,False,
tbxzvqjoua,4,-1,False,
tsththhval,4,-1,False,
umlixalzcl,0,-1,False,
bukdwquixi,0,-1,False,
ffctmtvhps,3,-1,False,
gnxpyqlbqz,3,-1,False,
lprzplsqkm,0,-1,False,
cjoobbljcu,2,-1,False,
pnmxyzzcrh,1,-1,False,
iedtxshhbv,2,-1,False,
cciemwzuex,3,-1,False,
hzhwxunile,1,-1,False,
uzycmqxiwl,1,-1,False,
ifsnupcpln,4,-1,False,
ynbuvsdyoo,0,-1,False,
yupoysysov,1,-1,False,
kporiroewr,2,-1,False,
vmkapkfpgl,3,-1,False,
rwtzlhvsfm,0,-1,False,
bjgbzgbkjq,0,-1,False,
vcdsvpecyq,1,-1,False,
srxtgyxgjo,1,-1,False,
ccxpcyryee,1,-1,False,
chdrynttzt,2,-1,False,
rihekmvecx,3,-1,False,
twvwbfmuaz,0,-1,False,
jgadaouzdx,0,-1,False,
kqwhebvxmo,1,-1,False,
fodwqokwaa,2,-1,False,
wyophhetil,1,-1,False,
fbmzpfxjba,0,-1,False,
kgvuiqpibc,1,-1,False,
cjrmuzkevw,4,-1,False,
xtdjdzdpgt,2,-1,False,
yrzvgyhvyt,3,-1,False,
mfwvkzkopa,4,-1,False,
miasvyxbtx,2,-1,False,
lvxhotjyxz,0,-1,False,
mbphgoljzh,0,-1,False,
eryngtudow,1,-1,False,
abrgxlakyq,3,-1,False,
vdojfmvqwy,4,-1,False,
zkoknutejk,4,-1,False,
ieqnajzomv,4,-1,False,
nsoekwfycp,4,-1,False,
vgmsdkltif,1,-1,False,
ilcodyzhgz,2,-1,False,
ojlniejaaq,0,-1,False,
saifnqdrcq,4,-1,False,
nbmqlhmclh,3,-1,False,
xkcrfpklgs,0,-1,False,
xbvuudbmxk,1,-1,False,
woddyvhakl,0,-1,False,
hnjibrsxfu,2,-1,False,
cqukanpdnl,0,-1,False,
arlgnrnmhf,2,-1,False,
cpbjnfyeyu,3,-1,False,
wdnomdripw,4,-1,False,
ywhmyohxbg,0,-1,False,
tnibwlgooh,2,-1,False,
yijkdapxnf,1,-1,False,
hkyfcqudqq,1,-1,False,
znprbqlmvy,3,-1,False,
stbtcnvssq,1,-1,False,
jpedwikqnq,1,-1,False,
zzfnafxkzn,3,-1,False,
mldsgsrfvy,4,-1,False,
ybukidzlnm,1,-1,False,
fhzqbmcojy,1,-1,False,
vhfoczbjak,2,-1,False,
rpuyelmhys,3,-1,False,
zgeabhptyc,2,-1,False,
hrnmgezxep,4,-1,False,
unibakyeui,2,-1,False,
ahlptofpsr,0,-1,False,
oxwokcjbzw,3,-1,False,
hhxegxasqf,2,-1,False,
hmslsjwjav,2,-1,False,
mzhabszwpw,0,-1,False,
kzpqoetqek,4,-1,False,
xsnsmlheqp,0,-1,False,
tsjmrajjgn,2,-1,False,
uixpggrirw,3,-1,False,
ebvstjkcbd,2,-1,False,
ewkmsaqwyp,2,-1,False,
ihdxgkdxry,2,-1,False,
fddqehgtqi,2,-1,False,
ndyhxutauy,3,-1,False,
aealzzhska,0,-1,False,
lljmnykvtb,1,-1,False,
yahgatehep,4,-1,False,
